name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,filename,c,rho,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n250_coor.txt,0.1,0,23215.03896,23215.038959999998,0.9569230079650879,25,25,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n25_coor.txt,0.1,0,120.56654,120.56654,0.08604598045349121,18,18,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n500_coor.txt,0.1,0,94917.48798,94917.48797999999,3.008888006210327,44,44,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n50_coor.txt,0.1,0,846.84575,846.8457500000001,1.1307649612426758,33,33,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n1000_coor.txt,0.1,0,376493.16001,376493.1600100001,3.6053121089935303,29,29,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n100_coor.txt,0.1,0,3863.7463199999997,3863.74632,0.35367584228515625,16,16,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n2000_coor.txt,0.1,0,1.49755407428e6,1.4975554675200004e6,5.547304153442383,32,32,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n250_coor.txt,0.1,0,23035.03398,23035.033979999997,5.833245038986206,51,51,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n25_coor.txt,0.1,0,108.92847,108.92847,0.1360461711883545,24,24,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n500_coor.txt,0.1,0,95234.61882,95234.61881999996,0.7062070369720459,22,22,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_9_n50_coor.txt,0.1,0,864.8546800000001,864.8546799999999,0.4431419372558594,24,24,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n1000_coor.txt,0.1,0.01,369794.39559000003,369794.68770999997,18.70746612548828,52,52,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n100_coor.txt,0.1,0.01,3509.3019400000003,3509.3019400000003,5.350641965866089,40,40,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n2000_coor.txt,0.1,0.01,1.4574493330200003e6,1.457450490209999e6,27.57677698135376,59,59,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n250_coor.txt,0.1,0.01,22605.755449999997,22605.755449999997,27.647216081619263,65,65,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n25_coor.txt,0.1,0.01,123.33878,123.33878,0.07120013236999512,14,14,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n500_coor.txt,0.1,0.01,93874.42922,93874.42922,6.8284220695495605,43,43,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_10_n50_coor.txt,0.1,0.01,887.0480499999999,887.0480500000001,0.6672840118408203,23,23,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n1000_coor.txt,0.1,0.01,373784.88985,373785.24544,67.44538903236389,101,101,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n100_coor.txt,0.1,0.01,3791.1865000000003,3791.1865000000003,0.4210329055786133,21,21,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n2000_coor.txt,0.1,0.01,1.4633661577899999e6,1.4633672410100002e6,4.110954999923706,26,26,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n250_coor.txt,0.1,0.01,22377.5355,22377.535499999998,6.235872030258179,52,52,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n25_coor.txt,0.1,0.01,122.29381,122.29381,0.13192296028137207,15,15,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n500_coor.txt,0.1,0.01,92976.08451999999,92976.08452,1.6709239482879639,27,27,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_1_n50_coor.txt,0.1,0.01,902.6165299999999,902.61653,0.19059109687805176,20,20,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n1000_coor.txt,0.1,0.01,369750.51580000005,369750.5157999999,8.888175010681152,47,47,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n100_coor.txt,0.1,0.01,3638.18078,3638.18078,0.23532795906066895,18,18,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n2000_coor.txt,0.1,0.01,1.4723169706299999e6,1.4723182335599996e6,3.779114007949829,23,23,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n250_coor.txt,0.1,0.01,23545.617410000003,23545.61741,0.9005420207977295,23,23,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n25_coor.txt,0.1,0.01,128.10444,128.10444,0.05512809753417969,13,13,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n500_coor.txt,0.1,0.01,95014.23709000001,95014.30842000002,6.327630996704102,42,42,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_2_n50_coor.txt,0.1,0.01,896.04223,896.04223,0.32480502128601074,23,23,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n1000_coor.txt,0.1,0.01,368422.40183999995,368422.7141,17.156363010406494,50,50,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n100_coor.txt,0.1,0.01,3621.73923,3621.73923,0.30196404457092285,21,21,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n2000_coor.txt,0.1,0.01,1.46573074247e6,1.4657318528100003e6,21.743306875228882,58,58,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n250_coor.txt,0.1,0.01,23166.847970000003,23166.84796999999,7.8028340339660645,46,46,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n25_coor.txt,0.1,0.01,115.91957,115.91957,0.11363410949707031,21,21,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n500_coor.txt,0.1,0.01,93690.57001,93690.57001000001,1.7148239612579346,28,28,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_3_n50_coor.txt,0.1,0.01,865.23525,865.23525,0.48583006858825684,24,24,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n1000_coor.txt,0.1,0.01,373248.70953,373248.70953,20.043577909469604,57,57,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n100_coor.txt,0.1,0.01,3657.85275,3657.8527499999996,1.1107001304626465,28,28,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n2000_coor.txt,0.1,0.01,1.47285337738e6,1.47285423817e6,27.17106604576111,63,63,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n250_coor.txt,0.1,0.01,22827.04163,22827.04163,0.5454239845275879,21,21,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n25_coor.txt,0.1,0.01,125.38528,125.38528,0.08484101295471191,17,17,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n500_coor.txt,0.1,0.01,93880.91685,93880.91685000001,3.353821039199829,34,34,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n50_coor.txt,0.1,0.01,871.7519,871.7519,0.8290560245513916,30,30,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n1000_coor.txt,0.1,0.01,367563.05077,367563.05077,4.935941934585571,35,35,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n100_coor.txt,0.1,0.01,3764.39408,3764.39408,1.9583659172058105,36,36,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n2000_coor.txt,0.1,0.01,1.4621581836699997e6,1.4621595575899992e6,89.5144100189209,85,85,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n250_coor.txt,0.1,0.01,23175.83509,23175.835090000008,2.616811990737915,36,36,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n25_coor.txt,0.1,0.01,120.88333,120.88333,0.07176899909973145,16,16,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n500_coor.txt,0.1,0.01,91557.90914,91557.90914,5.792871952056885,41,41,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n50_coor.txt,0.1,0.01,887.17099,887.1709900000001,0.5590767860412598,24,24,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n1000_coor.txt,0.1,0.01,372080.25824999996,372080.49926,18.108663082122803,54,54,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n100_coor.txt,0.1,0.01,3478.8325200000004,3478.83252,1.6319329738616943,37,37,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n2000_coor.txt,0.1,0.01,1.4671265006400002e6,1.4671278789700004e6,22.121755123138428,54,54,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n250_coor.txt,0.1,0.01,23512.633120000002,23512.633119999995,1.0886259078979492,24,24,0,25,25
