name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,n,s,b,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,20,0.2,73,1.6704786085537845e8,1.6704786085537824e8,0.5068678855895996,4,4,0,1349,1348
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,20,0.2,74,1.6712787442618084e8,1.6712787442618087e8,0.40207600593566895,4,4,0,1352,1350
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,20,0.2,75,1.6364591118374828e8,1.6364591118374816e8,3.496290922164917,4,4,0,1337,1336
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,2,0.3,76,7.801049790127728e6,7.801049790127727e6,0.2789928913116455,5,5,0,540,535
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,2,0.3,77,7.690783455851846e6,7.690783455851858e6,0.23033905029296875,6,6,0,538,531
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,2,0.3,78,7.982680557033534e6,7.982680557033539e6,0.20633387565612793,4,4,0,546,540
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,2,0.3,79,8.385143670011432e6,8.385143670011432e6,0.19808006286621094,6,6,0,554,549
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,2,0.3,80,7.854549883717102e6,7.854549883717108e6,0.21074795722961426,5,5,0,534,528
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,2,0.3,81,1.8259007150570568e7,1.825900715057057e7,0.3566300868988037,6,6,0,820,812
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,2,0.3,82,1.791221381035726e7,1.791221381035727e7,0.512192964553833,5,5,0,818,809
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,2,0.3,83,1.8190040404025577e7,1.8190040404025607e7,0.2705671787261963,4,4,0,820,813
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,2,0.3,84,1.8327405723255735e7,1.832740572325575e7,0.3387491703033447,5,5,0,830,821
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,2,0.3,85,1.8007190540254228e7,1.800719772669064e7,0.5537140369415283,7,7,0,821,812
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,2,0.3,86,3.386844553600173e7,3.386844553600179e7,0.21194100379943848,4,4,0,1116,1106
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,2,0.3,87,3.2752743901980847e7,3.275274390198086e7,0.38736915588378906,5,5,0,1096,1086
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,2,0.3,88,3.2137518139850616e7,3.2137518139850564e7,0.357651948928833,5,5,0,1094,1086
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,2,0.3,89,3.244512297706557e7,3.2445122977065578e7,0.6841938495635986,7,7,0,1103,1091
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,2,0.3,90,3.189945408340563e7,3.1899464765540883e7,0.6030499935150146,7,7,0,1085,1072
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,2,0.3,91,4.980034564584851e7,4.980037914000862e7,0.7757790088653564,6,6,0,1366,1352
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,2,0.3,92,4.850357911041164e7,4.850357911041174e7,0.9241759777069092,7,7,0,1343,1328
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,2,0.3,93,5.030764912299893e7,5.0307655686669044e7,0.5660419464111328,5,5,0,1369,1353
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,2,0.3,94,5.0049318736900754e7,5.004934382462162e7,0.31943702697753906,4,4,0,1359,1344
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,2,0.3,95,5.091282691803824e7,5.091282691803824e7,0.48848485946655273,5,5,0,1365,1350
