name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,num,coords,demand_ratio,cost_ratio,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.05,0.2,100,5.254587782473032e7,5.254587782473043e7,0.47438693046569824,3,3,0,1407,1403
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.05,0.2,101,9.493816953945956e7,9.493816953945959e7,1.0311799049377441,4,4,0,1887,1882
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.05,0.2,102,9.432661229486267e7,9.432661229486279e7,1.5231151580810547,4,4,0,1888,1882
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.05,0.2,103,9.194722763013694e7,9.194727898186533e7,2.6908841133117676,4,4,0,1877,1871
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.05,0.2,104,9.547707148455817e7,9.547707148455824e7,5.439003944396973,4,4,0,1892,1888
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,2,0.05,0.2,105,9.370034346660575e7,9.370041258523618e7,0.44586992263793945,3,3,0,1886,1881
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.05,0.2,106,5.712548170241904e7,5.71255179498189e7,0.46045494079589844,3,3,0,943,943
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.05,0.2,107,5.766492901432134e7,5.7664929014321245e7,0.46680402755737305,3,3,0,949,949
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.05,0.2,108,5.692443290199873e7,5.692443290199868e7,0.6309449672698975,3,3,0,941,940
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.05,0.2,109,5.846793274565601e7,5.846793274565603e7,1.0813109874725342,3,3,0,954,954
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.05,0.2,110,5.6754543919370055e7,5.6754543919369996e7,0.823962926864624,4,4,0,940,940
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.05,0.2,111,1.2884017788893247e8,1.2884017788893233e8,1.276658058166504,4,4,0,1417,1417
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.05,0.2,112,1.3030299727793743e8,1.3030299727793707e8,1.1144518852233887,3,3,0,1422,1421
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.05,0.2,113,1.2992507633641228e8,1.2992507633641234e8,0.7508890628814697,4,4,0,1422,1421
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.05,0.2,114,1.2879837069155265e8,1.287984612965955e8,3.153933048248291,3,3,0,1416,1415
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.05,0.2,115,1.2623878159612212e8,1.2623878159612218e8,1.0500500202178955,3,3,0,1406,1405
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.2,116,2.2914201579593796e8,2.2914201579593822e8,0.4395630359649658,3,3,0,1891,1889
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.2,117,2.2866470900123012e8,2.2866470900123015e8,0.5201659202575684,3,3,0,1891,1890
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.2,118,2.2848675543581218e8,2.2848675543581223e8,1.1419389247894287,3,3,0,1884,1884
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.2,119,2.3005395802564144e8,2.3005395802564192e8,0.698868989944458,3,3,0,1893,1892
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.05,0.2,120,2.256228851429143e8,2.2562301417391798e8,0.7297561168670654,3,3,0,1881,1880
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.2,121,7.772824937088576e7,7.772824937088577e7,0.6969618797302246,3,3,0,924,924
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.2,122,8.287433770542993e7,8.287433770542978e7,0.44101691246032715,3,3,0,953,953
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.2,123,8.232436604006469e7,8.232436604006481e7,1.766390085220337,3,3,0,949,949
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.2,124,7.834196391963466e7,7.834196391963464e7,0.22786617279052734,3,3,0,925,925
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.05,0.2,125,8.527425932243359e7,8.52742593224335e7,0.2708709239959717,3,3,0,966,966
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.05,0.2,126,1.807999746503792e8,1.8079997465037897e8,0.6737699508666992,3,3,0,1405,1404
